org_id,org_name,url,hgnc_id,symbol,orphacode,country,org_type,registry_platform,registry_url,natural_history_study,data_elements_documented,irb_status,maturity_stage,coalitions,contact,status,source,reviewed_by,review_date,notes
,1p36 Deletion Support & Awareness,http://www.1p36dsa.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: 1p36 Deletion Syndrome; founded 2009
,A Cure for Ellie,https://acureforellie.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Leukoencephalopathy with Brain Stem and Spinal Cord Involvement and Lactate Elevation; founded 2013
,ACDY5.org,https://www.adcy5.org/,,ACDY5,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: ADCY5-related dyskinesia; biobank; founded 2017
,ACDY5.org,https://www.adcy5.org/,HGNC:236,ADCY5,1429;324588,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: ADCY5-related dyskinesia; biobank; founded 2017
,ADNP-Kids Research Foundation,https://www.adnpfoundation.org/,HGNC:15766,ADNP,404448;700160,United States of America,foundation,Citizen,,no,,,,,,candidate,epilepsylive_orgs;everycure_rdnp,,,EveryCure RDNP list; focus: Helsmoortel Van Der Aa Syndrome; founded 2016
,ALD Alliance,https://www.aldalliance.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Adrenoleukodystrophy; founded 2013
,ALD Connect,https://aldconnect.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp;fda_pfdd,,,EveryCure RDNP list; focus: Adrenoleukodystrophy; biobank; founded 2013
,"Angelman Syndrome Foundation, Inc.",https://www.angelman.org/,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Angelman Syndrome; founded 1992
,AXYS,https://genetic.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Sex Chromosome Aneuploidy disorders; founded 1989
,Batten Disease Support and Research Association,https://www.bdsra.org/,,,,United States of America,foundation,,,unknown,,,,,,candidate,everycure_rdnp;registries_2020,,,EveryCure RDNP list; focus: Batten disease; founded 1987
,Beyond Batten Disease Foundation,https://beyondbatten.org,,,,United States of America,foundation,,,yes,,,,,,candidate,everycure_rdnp,,,EveryCure RDNP list; focus: Batten disease; founded 2016
