gene,hgnc_id,el_tier,disorder,foundation,foundation_url,registry,registry_url,platforms,simons_enrolled,cords,therapeutics,fda_report,fda_report_url,contact_email,linkedin,facebook,instagram,youtube,net_pags
KCNB1,HGNC:6231,1,KCNB1 Encephalopathy (DEE26),KCNB1 Foundation,https://kcnb1.org/,KCNB1 Foundation registry; Simons Searchlight; Citizen Health,,Foundation-hosted (KCNB1 Foundation registry); Citizen Health; Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (KCNB1 enrolled),Yes ('KCNB1 encephalopathy'),Preclinical: ASO and small molecule programs,,,,,KCNB1 Foundation FB,@kcnb1foundation,,KCNB1.org; Simons Searchlight KCNB1 Facebook community
MECP2,HGNC:6990,1,Rett Syndrome; MECP2 Duplication Syndrome (males),International Rett Syndrome Foundation (IRSF/Rettsyndrome.org); Reverse Rett (UK); Rett Syndrome Research Trust (RSRT); MECP2 Duplication Foundation,https://www.rettsyndrome.org/; https://www.reverserett.org.uk/; https://reverserett.org/; https://mecp2duplication.com/,"Rett Syndrome NH Study (US); InterRett (international, Western Australia)",https://www.interrett.com.au/,"NIH RDCRN (Rett Syndrome Natural History Study); Academic / REDCap (InterRett, Telethon Kids/U Western Australia); Foundation-hosted (multiple); ClinicalTrials.gov NH studies; Sanford CoRDS (MECP2 Duplication)",No (Rett-specific),Yes ('MECP2 duplication syndrome'),Acadia/Daybue trofinetide (FDA-approved 2023); Taysha TSHA-102; Neurogene NGN-401; multiple gene therapy/ASO programs,Patient Listening Session (2025); EL-PFDD Meeting (2022),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,,,"Multiple, IRSF, RSRT, Reverse Rett, country chapter pages",@rettsyndrome; @reverserett; @rsrt_org,,Rett Syndrome.org
MED13L,HGNC:22962,1,MED13L Syndrome (intellectual disability with distinctive facial features),MED13L Foundation,https://med13l.org/,MED13L Foundation registry; Simons Searchlight,https://med13l.org/research-hub/join-med13l-research-opportunities/,Foundation-hosted (MED13L Foundation registry); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (MED13L enrolled),Umbrella,Preclinical only,,,info@med13l.org,https://www.linkedin.com/company/the-med13l-foundation,https://www.facebook.com/med13lfoundation/,https://www.instagram.com/med13lfoundation,https://www.youtube.com/@med13lfoundation,MED13L (Germany); MED13L España; MED13L Foundation
MEF2C,HGNC:6996,1,MEF2C Haploinsufficiency Syndrome (5q14.3 microdeletion),MEF2C Foundation,https://www.usmef2cfoundation.org/,MEF2C Foundation registry; Simons Searchlight,https://www.usmef2cfoundation.org/joinsimonssearchlight,Foundation-hosted (MEF2C Foundation registry); Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (MEF2C enrolled),Yes ('MEF2C haploinsufficiency syndrome'),Preclinical: ASO and gene therapy programs,Patient Listening Session (2024),https://www.fda.gov/patients/learn-about-fda-patient-engagement/patient-listening-session-summaries,info@usmef2cfoundation.org,,MEF2C Foundation FB,@mef2cfoundation,,Asociacion MEF2C; MEF2C Family Foundation; MEF2C Foundation; US MEF2C Foundation
PCDH19,HGNC:14270,1,PCDH19 Clustering Epilepsy (formerly EFMR),PCDH19 Alliance,https://www.pcdh19info.org/,PCDH19 Alliance registry / NH partnership,https://pcdh19info.org/resources/lacy-smith-ms-cgc-nilika-singhal-md-pcdh19-registry-looking-back-on-ten-years/,Foundation-hosted (PCDH19 Alliance); Combined Brain biorepository; Sanford CoRDS (umbrella),No,Umbrella (EFMR),"Marinus (ganaxolone, clinical trial program); Stoke Therapeutics; Ovid (historical)",,,julie@pcdh19info.org,https://www.linkedin.com/company/pcdh19-alliance/,https://www.facebook.com/Pcdh19/,https://www.instagram.com/pcdh19alliance/,https://www.youtube.com/@pcdh19alliance10,Together for the research on PCDH19; PCDH19 Alliance
POLG,HGNC:9179,1,"POLG-related disorders (Alpers, MEMSA, ANS, PEO, MCHS)",United Mitochondrial Disease Foundation (UMDF); MitoAction; Lily Foundation (UK); Mito Foundation (AU),https://www.umdf.org/; https://www.mitoaction.org/; https://www.thelilyfoundation.org.uk/; https://www.mito.org.au/,NAMDC (North American Mitochondrial Disease Consortium) registry; UK MitoCohort,https://rarediseasesnetwork.org/cms/namdc,"NIH RDCRN (NAMDC, North American Mitochondrial Disease Consortium); Academic / REDCap (UK MitoCohort, Newcastle); Sanford CoRDS",No,Yes ('Alpers-Huttenlocher syndrome'; multiple POLG entries),Supportive care; preclinical AAV approaches; valproate avoidance is critical clinical management,EL-PFDD Meeting (2019),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,,,UMDF FB; Lily Foundation FB; many country pages,@umdf_org; @lilyfoundationuk,,International Mito Patients; MitoAction; PolG Foundation
PPP2R5D,HGNC:9312,1,Jordan's Syndrome (PPP2R5D-related neurodevelopmental disorder),Jordan's Guardian Angels (JGA),https://jordansguardianangels.org/,JGA NH study (Columbia/Wendy Chung); JGA International Family Conference cohort,,Foundation-hosted (Jordan's Guardian Angels); Academic / REDCap (Columbia/Wendy Chung NH); Sanford CoRDS,No,Yes ('PPP2R5D-related neurodevelopmental disorder'),Preclinical: alpaca-derived nanobodies; iPSC drug screens; mouse models; PP2A holoenzyme-targeted approaches,,,,,"Jordan's Guardian Angels FB (3,600+ followers)",@jordansguardianangels,,PPP2R5D Foundation
PURA,HGNC:9701,1,PURA Syndrome,PURA Syndrome Foundation; PURA Foundation Australia,https://purasyndrome.org/,PURA Syndrome Foundation registry; PURA biobank (Helmholtz Munich partnership),https://purasyndrome.org/research/patient-registry/,Foundation-hosted (PURA Syndrome Foundation registry); Foundation-hosted biobank (Helmholtz Munich partnership); Sanford CoRDS,No,Yes ('PURA-related severe neonatal-onset neurodevelopmental disorder'),Preclinical: structural biology informing small molecule development; Odilya Therapeutics,,,,,https://www.facebook.com/PURASyndrome/,https://www.instagram.com/pura_syndrome_foundation/?hl=en,,GrandPOPS; PURA Foundation Australia; PURA Syndrome Foundation
SATB2,HGNC:21637,1,SATB2-Associated Syndrome (SAS; Glass syndrome),SATB2 Gene Foundation; international family network,https://www.satb2gene.org/,SATB2 Gene Foundation registry; Simons Searchlight,,Foundation-hosted (SATB2 Gene Foundation registry); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (SATB2 enrolled),Yes ('SATB2-associated syndrome'),Preclinical only,,,,,SATB2 Gene Foundation FB,@satb2gene,,SATB2- genfundament; SATB2 Syndrome (2q33.1) Facebook Group
SCN1A,HGNC:10585,1,Dravet Syndrome; GEFS+2; FHM3,"Dravet Syndrome Foundation (DSF, US); Dravet Syndrome UK; Dravet Syndrome European Federation; Dravet.org.au; multi-country",https://www.dravetfoundation.org,Dravet Syndrome International Patient Registry,https://dravetfoundation.org/research/for-patients-families/registry-natural-history-studies/,"Foundation-hosted (Dravet Syndrome International Patient Registry); ClinicalTrials.gov NH studies (Stoke BUTTERFLY, Encoded ENVISION); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS",Yes (SCN1A enrolled),Yes ('Dravet syndrome'),"Stoke Therapeutics zorevunersen/STK-001 (Phase 3); Encoded Therapeutics ETX101 (gene therapy, Phase 1/2); Tevard; Neurocrine; FDA-approved: stiripentol (Diacomit), cannabidiol (Epidiolex), fenfluramine (Fintepla)",EL-PFDD Meeting (2022),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@dravetfoundation.org,https://www.linkedin.com/company/2942459/,https://www.facebook.com/DravetSyndromeFoundation/,https://www.instagram.com/dravetsyndromefoundation/,https://www.youtube.com/channel/UC4z8dwjuGJc3hMLyGuk8xhw,Dravet Foundation; ICE Epilepsy Alliance
SCN2A,HGNC:10588,1,"SCN2A-related disorders (DEE11, BFNIS, autism, ID)",FamilieSCN2A Foundation,https://www.scn2a.org/,FamilieSCN2A registry; international SCN2A consortium,https://scn2a.iamrare.org/,Foundation-hosted (FamilieSCN2A Foundation registry); Combined Brain biorepository; Sodium Channel Coalition cohorts; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella),Yes (SCN2A enrolled),Umbrella (DEE),"Praxis Precision Medicines (PRAX-562, completed Phase 2); Ionis/Stoke Therapeutics ASO programs; Encoded Therapeutics; phenotype-dependent treatment (sodium-channel blockers vs. enhancers)",Patient Listening Session (2021),https://www.fda.gov/patients/fda-patient-listening-sessions/patient-listening-session-summaries,info@scn2a.org,https://www.linkedin.com/company/familiescn2a-foundation,https://www.facebook.com/FamilieSCN2AFoundation/,https://www.instagram.com/familiescn2afoundation/,https://www.youtube.com/channel/UCjwfDssCR9sRGj-jY8HDo3A,FamilieSCN2A Foundation; SCN2A Australia; SCN2A Europe; SCN2A Foundation
SCN8A,HGNC:10596,1,"SCN8A-related disorders (DEE13, BFIS5, ID)",Wishes for Elliott; The Cute Syndrome Foundation,https://scn8aalliance.org/,Wishes for Elliott registry partnership; international SCN8A consortium,https://scn8aalliance.org/scn8a-registry/,Foundation-hosted (Wishes for Elliott registry partnership); Combined Brain biorepository; Sodium Channel Coalition cohorts; Sanford CoRDS (umbrella),No,Umbrella (DEE),"Praxis Precision Medicines (PRAX-562, also for SCN8A GoF); preclinical ASOs; sodium-channel blockers (phenytoin, carbamazepine) for gain-of-function",,,info@scn8aalliance.org,https://www.linkedin.com/company/scn8aalliance/,https://www.facebook.com/SCN8AAlliance/,https://www.instagram.com/scn8aalliance/,https://www.youtube.com/@scn8aalliance/videos,SCN8A Alliance; Cute Syndrome Foundation
SETBP1,HGNC:15573,1,SETBP1 Disorder (haploinsufficiency / Schinzel-Giedion when GoF),SETBP1 Society,https://www.setbp1.org/,SETBP1 Society registry; Citizen Health partnership,,Foundation-hosted (SETBP1 Society registry); Citizen Health; Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS,Yes (SETBP1 enrolled),Yes ('SETBP1 disorder'),Preclinical research,,,,,SETBP1 Society FB,@setbp1society,,SETBP1 Society
SHANK3,HGNC:14294,1,Phelan-McDermid Syndrome (22q13.3 deletion / SHANK3),Phelan-McDermid Syndrome Foundation (PMSF); CureSHANK; Phelan-McDermid Foundation Europe,https://pmsf.org/,"PMSF International Registry (Matrix platform, early adopter); Simons Searchlight; Mt Sinai academic NH",https://pmsf.org/datahub/,"Matrix (Across Healthcare, PMSF was first adopter); Academic / REDCap (Mt Sinai Seaver Center); Simons Searchlight (SFARI Base); Sanford CoRDS",Yes (SHANK3 enrolled),Yes ('Phelan-McDermid syndrome'),"Multiple academic & industry programs (IGF-1, oxytocin, gene therapy); Tevard; preclinical AAV",EL-PFDD Meeting (2022),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@pmsf.org,,https://www.facebook.com/PMSF22q13/,https://www.instagram.com/pmsf_official/,https://www.youtube.com/channel/UC-MRnjagSEpBvvwP9jbosfA,CureSHANK; 22q13 Deletion Syndrome Foundation
SLC13A5,HGNC:23089,1,SLC13A5 Citrate Transporter Disorder (DEE25),TESS Research Foundation,https://tessresearch.org,TESS Foundation registry; Ciitizen/Invitae partnership; SLC13A5 Citrate Transporter Disorder NH,https://www.tessresearch.org/join-registry/,Foundation-hosted (TESS Research Foundation registry); ClinicalTrials.gov NH study (NCT04181307); Pulse Infoframe (Ciitizen/Invitae); Sanford CoRDS,No,Yes ('SLC13A5 deficiency'),Multiple preclinical: gene therapy; substrate replacement; supplemental citrate; small molecule,,,info@tessresearch.org,https://www.linkedin.com/company/tess-research-foundation/,None public organization page confirmed in this pass,None public organization page confirmed in this pass,None public organization page confirmed in this pass,Tess Research Foundation
SLC6A1,HGNC:11042,1,SLC6A1-related disorder (myoclonic-atonic epilepsy / NDD),SLC6A1 Connect,https://slc6a1connect.org/,SLC6A1 Connect registry; Citizen Health partnership,https://slc6a1connect.org/registry/,"Citizen Health; Academic / REDCap (Brain Gene Registry, Children's National); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella)",Yes (SLC6A1 enrolled),Umbrella,"Taysha Gene Therapies (TSHA-120, gene therapy program for SLC6A1); preclinical ASOs",,,afreed@slc6a1connect.org,https://www.linkedin.com/company/slc6a1connect,https://www.facebook.com/SLC6A1/,https://www.instagram.com/slc6a1_connect/,https://www.youtube.com/channel/UCc_10FuNA4w72faofqOIX-Q,SLC6A1 Connect
STXBP1,HGNC:11444,1,STXBP1 Encephalopathy (DEE4); Ohtahara syndrome variant,STXBP1 Foundation,https://stxbp1disorders.org,STXBP1 NH Study (NCT06555965); Brain Gene Registry partnership,https://www.stxbp1disorders.org/contact-list,"ClinicalTrials.gov NH study (NCT06555965, joint with SYNGAP1); Academic / REDCap (Brain Gene Registry, Children's National); Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella)",Yes (STXBP1 enrolled),Umbrella (DEE),Encoded Therapeutics (gene therapy); Capsida; Stoke Therapeutics ASO; multiple academic gene therapy programs,EL-PFDD Meeting (2023),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@stxbp1disorders.org,https://www.linkedin.com/company/18624115,https://facebook.com/stxdisorders,https://instagram.com/stxbp1_foundation,https://www.youtube.com/@STXBP1_Disorders,European STXBP1 Association; STXBP1 Foundation
SYNGAP1,HGNC:11497,1,SYNGAP1-Related Intellectual Disability (MRD5),SynGAP Research Fund (SRF),https://syngapresearchfund.com,SYNGAP1 Patient Registry; Brain Gene Registry; Citizen Health,https://curesyngap1.org/join-the-citizen-registry/,"ClinicalTrials.gov NH study (NCT06555965, joint with STXBP1); Academic / REDCap (Brain Gene Registry, Children's National); Citizen Health; Combined Brain biorepository; Simons Searchlight (SFARI Base); Sanford CoRDS (umbrella)",Yes (SYNGAP1 enrolled),Umbrella (DEE/ID),Stoke Therapeutics ASO; Capsida AAV; Encoded; multiple gene therapy programs,EL-PFDD Meeting (2020),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@cureSYNGAP1.org,https://www.linkedin.com/company/curesyngap1,https://facebook.com/curesyngap1,https://instagram.com/curesyngap1,https://www.youtube.com/@CureSYNGAP1/videos,Bridge the Gap - SYNGAP Education and Research Foundation; CURE SYNGAP1; SYNGAP1 Foundation
TANGO2,HGNC:25439,1,TANGO2 Deficiency Disorder (TDD); Metabolic Encephalomyopathic Crisis with Recurrent Rhabdomyolysis,TANGO2 Research Foundation (T2RF),https://tango2research.org/,T2RF registry; Baylor academic registry,,Foundation-hosted (T2RF registry); Academic / REDCap (Baylor); Sanford CoRDS,No,Yes ('TANGO2-related metabolic encephalopathy and arrhythmias'),"B-vitamin cocktail (multivitamin/B-complex protocol, clinical management standard, Lalani 2020); preclinical AAV",,,,,TANGO2 Research Foundation FB,@tango2research,,TANGO2 Research Foundation
TBCK,HGNC:28261,1,TBCK-related neurodegenerative disorder (TBCK encephaloneuropathy),Tess Foundation (TBCK); CureTBCK; international family network,https://www.curetbck.org/,Cure TBCK registry; CHOP academic NH,,Foundation-hosted (Cure TBCK registry); Academic / REDCap (CHOP NH); Sanford CoRDS,No,Yes ('TBCK-related neurodevelopmental disorder'),Preclinical: AAV gene therapy; IGF-1; phosphoinositide pathway approaches,,,,,Cure TBCK FB,@curetbck,,Fundación TBCK
TSC1,HGNC:12362,1,Tuberous Sclerosis Complex (TSC1),TSC Alliance (US); Tuberous Sclerosis Association (UK); Tuberous Sclerosis Australia; multi-country,https://www.tscalliance.org,TSC Natural History Database (TSC Alliance); TOSCA (international cohort),https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,Foundation-hosted (TSC Alliance Natural History Database); Academic / REDCap (TOSCA international cohort); NIH RDCRN; Sanford CoRDS (umbrella),No,Umbrella (TSC umbrella),"Multiple FDA-approved: everolimus (Afinitor), sirolimus (Rapamune); cannabidiol (Epidiolex); ASO programs",EL-PFDD Meeting (2017),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@tscalliance.org,https://www.linkedin.com/company/tsc-alliance/,https://www.facebook.com/tscalliance,https://www.instagram.com/tscalliance/,https://www.youtube.com/tscalliance,TS Alliance
TSC2,HGNC:12363,1,"Tuberous Sclerosis Complex (TSC2, most cases)","Same as TSC1 (TSC Alliance, TSA UK, etc.)",https://www.tscalliance.org,"Same, TSC Natural History Database; TOSCA",https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,Foundation-hosted (TSC Alliance Natural History Database); Academic / REDCap (TOSCA international cohort); NIH RDCRN; Sanford CoRDS (umbrella),No,Umbrella,Same as TSC1; TSC2 phenotypes generally more severe (target of most therapeutic studies),EL-PFDD Meeting (2017),https://www.fda.gov/industry/prescription-drug-user-fee-amendments/condition-specific-meeting-reports-and-other-information-related-patients-experience,info@tscalliance.org,https://www.linkedin.com/company/tsc-alliance/,https://www.facebook.com/tscalliance,https://www.instagram.com/tscalliance/,https://www.youtube.com/tscalliance,TS Alliance; Tuberous Sclerosis Association (UK)
