org_name,gene,url,org_type,registry_platform,registry_url,natural_history_study,coalitions,contact,fda_report,notes
2BCURED,GRIN2B,,foundation,,,,,,,
GRI France,GRIN2B,,foundation,,,,,,,
GRIN Europe,GRIN2B,,foundation,,,,,,,
KCNB1 Foundation,KCNB1,https://kcnb1.org/,foundation,Citizen,,,,,,KCNB1 Encephalopathy (DEE26); registry: KCNB1 Foundation registry; Simons Searchlight; Citizen Health
KCNB1.org,KCNB1,,foundation,,,,,,,
Simons Searchlight KCNB1 Facebook community,KCNB1,,family group,,,,,,,
International Rett Syndrome Foundation,MECP2,https://www.rettsyndrome.org/,foundation,REDCap,https://www.interrett.com.au/,yes,,,Patient Listening Session (2025); EL-PFDD Meeting (2022),"Rett Syndrome; MECP2 Duplication Syndrome (males); registry: Rett Syndrome NH Study (US); InterRett (international, Western Australia)"
Reverse Rett (UK),MECP2,https://www.reverserett.org.uk/,foundation,,,,,,,
Rett Syndrome Research Trust,MECP2,https://reverserett.org/,foundation,,,,,,,
MECP2 Duplication Foundation,MECP2,https://mecp2duplication.com/,foundation,,,,,,,
Rett Syndrome.org,MECP2,,foundation,,,,,,,
MED13L Foundation,MED13L,https://med13l.org/,foundation,Foundation-hosted,https://med13l.org/research-hub/join-med13l-research-opportunities/,,,info@med13l.org,,MED13L Syndrome (intellectual disability with distinctive facial features); registry: MED13L Foundation registry; Simons Searchlight
MED13L (Germany),MED13L,,foundation,,,,,,,
MED13L España,MED13L,,foundation,,,,,,,
MEF2C Foundation,MEF2C,https://www.usmef2cfoundation.org/,foundation,Foundation-hosted,https://www.usmef2cfoundation.org/joinsimonssearchlight,,,info@usmef2cfoundation.org,Patient Listening Session (2024),MEF2C Haploinsufficiency Syndrome (5q14.3 microdeletion); registry: MEF2C Foundation registry; Simons Searchlight
Asociacion MEF2C,MEF2C,,foundation,,,,,,,
MEF2C Family Foundation,MEF2C,,foundation,,,,,,,
US MEF2C Foundation,MEF2C,,foundation,,,,,,,
PCDH19 Alliance,PCDH19,https://www.pcdh19info.org/,foundation,Foundation-hosted,https://pcdh19info.org/resources/lacy-smith-ms-cgc-nilika-singhal-md-pcdh19-registry-looking-back-on-ten-years/,yes,,julie@pcdh19info.org,,PCDH19 Clustering Epilepsy (formerly EFMR); registry: PCDH19 Alliance registry / NH partnership
Together for the research on PCDH19,PCDH19,,foundation,,,,,,,
United Mitochondrial Disease Foundation,POLG,https://www.umdf.org/,foundation,REDCap,https://rarediseasesnetwork.org/cms/namdc,,,,EL-PFDD Meeting (2019),"POLG-related disorders (Alpers, MEMSA, ANS, PEO, MCHS); registry: NAMDC (North American Mitochondrial Disease Consortium) registry; UK MitoCohort"
MitoAction,POLG,https://www.mitoaction.org/,foundation,,,,,,,
Lily Foundation (UK),POLG,https://www.thelilyfoundation.org.uk/,foundation,,,,,,,
Mito Foundation (AU),POLG,https://www.mito.org.au/,foundation,,,,,,,
International Mito Patients,POLG,,foundation,,,,,,,
PolG Foundation,POLG,,foundation,,,,,,,
Jordan's Guardian Angels,PPP2R5D,https://jordansguardianangels.org/,foundation,REDCap,,yes,,,,Jordan's Syndrome (PPP2R5D-related neurodevelopmental disorder); registry: JGA NH study (Columbia/Wendy Chung); JGA International Family Conference cohort
PPP2R5D Foundation,PPP2R5D,,foundation,,,,,,,
PURA Syndrome Foundation,PURA,https://purasyndrome.org/,foundation,Foundation-hosted,https://purasyndrome.org/research/patient-registry/,,,,,PURA Syndrome; registry: PURA Syndrome Foundation registry; PURA biobank (Helmholtz Munich partnership)
PURA Foundation Australia,PURA,,foundation,,,,,,,
GrandPOPS,PURA,,foundation,,,,,,,
SATB2 Gene Foundation,SATB2,https://www.satb2gene.org/,foundation,Foundation-hosted,,,,,,SATB2-Associated Syndrome (SAS; Glass syndrome); registry: SATB2 Gene Foundation registry; Simons Searchlight
international family network,SATB2,,family group,,,,,,,
SATB2- genfundament,SATB2,,foundation,,,,,,,
SATB2 Syndrome (2q33.1) Facebook Group,SATB2,,family group,,,,,,,
Dravet Syndrome Foundation,SCN1A,https://www.dravetfoundation.org,foundation,Foundation-hosted,https://dravetfoundation.org/research/for-patients-families/registry-natural-history-studies/,,,info@dravetfoundation.org,EL-PFDD Meeting (2022),Dravet Syndrome; GEFS+2; FHM3; registry: Dravet Syndrome International Patient Registry
Dravet Syndrome UK,SCN1A,,foundation,,,,,,,
Dravet Syndrome European Federation,SCN1A,,foundation,,,,,,,
Dravet.org.au,SCN1A,,foundation,,,,,,,
multi-country,SCN1A,,foundation,,,,,,,
Dravet Foundation,SCN1A,,foundation,,,,,,,
ICE Epilepsy Alliance,SCN1A,,foundation,,,,,,,
FamilieSCN2A Foundation,SCN2A,https://www.scn2a.org/,foundation,Foundation-hosted,https://scn2a.iamrare.org/,,,info@scn2a.org,Patient Listening Session (2021),"SCN2A-related disorders (DEE11, BFNIS, autism, ID); registry: FamilieSCN2A registry; international SCN2A consortium"
SCN2A Australia,SCN2A,,foundation,,,,,,,
SCN2A Europe,SCN2A,,foundation,,,,,,,
SCN2A Foundation,SCN2A,,foundation,,,,,,,
Wishes for Elliott,SCN8A,https://scn8aalliance.org/,foundation,Foundation-hosted,https://scn8aalliance.org/scn8a-registry/,,,info@scn8aalliance.org,,"SCN8A-related disorders (DEE13, BFIS5, ID); registry: Wishes for Elliott registry partnership; international SCN8A consortium"
The Cute Syndrome Foundation,SCN8A,,foundation,,,,,,,
SCN8A Alliance,SCN8A,,foundation,,,,,,,
Cute Syndrome Foundation,SCN8A,,foundation,,,,,,,
SETBP1 Society,SETBP1,https://www.setbp1.org/,foundation,Citizen,,,,,,SETBP1 Disorder (haploinsufficiency / Schinzel-Giedion when GoF); registry: SETBP1 Society registry; Citizen Health partnership
Phelan-McDermid Syndrome Foundation,SHANK3,https://pmsf.org/,foundation,Matrix (Across Healthcare),https://pmsf.org/datahub/,yes,,info@pmsf.org,EL-PFDD Meeting (2022),"Phelan-McDermid Syndrome (22q13.3 deletion / SHANK3); registry: PMSF International Registry (Matrix platform, early adopter); Simons Searchlight; Mt Sinai academic NH"
CureSHANK,SHANK3,,foundation,,,,,,,
Phelan-McDermid Foundation Europe,SHANK3,,foundation,,,,,,,
22q13 Deletion Syndrome Foundation,SHANK3,,foundation,,,,,,,
TESS Research Foundation,SLC13A5,https://tessresearch.org,foundation,Pulse Infoframe,https://www.tessresearch.org/join-registry/,yes,,info@tessresearch.org,,SLC13A5 Citrate Transporter Disorder (DEE25); registry: TESS Foundation registry; Ciitizen/Invitae partnership; SLC13A5 Citrate Transporter Disorder NH
SLC6A1 Connect,SLC6A1,https://slc6a1connect.org/,foundation,Citizen,https://slc6a1connect.org/registry/,,,afreed@slc6a1connect.org,,SLC6A1-related disorder (myoclonic-atonic epilepsy / NDD); registry: SLC6A1 Connect registry; Citizen Health partnership
STXBP1 Foundation,STXBP1,https://stxbp1disorders.org,foundation,REDCap,https://www.stxbp1disorders.org/contact-list,yes,,info@stxbp1disorders.org,EL-PFDD Meeting (2023),STXBP1 Encephalopathy (DEE4); Ohtahara syndrome variant; registry: STXBP1 NH Study (NCT06555965); Brain Gene Registry partnership
European STXBP1 Association,STXBP1,,foundation,,,,,,,
SynGAP Research Fund,SYNGAP1,https://syngapresearchfund.com,foundation,Citizen,https://curesyngap1.org/join-the-citizen-registry/,,,info@cureSYNGAP1.org,EL-PFDD Meeting (2020),SYNGAP1-Related Intellectual Disability (MRD5); registry: SYNGAP1 Patient Registry; Brain Gene Registry; Citizen Health
Bridge the Gap - SYNGAP Education and Research Foundation,SYNGAP1,,foundation,,,,,,,
CURE SYNGAP1,SYNGAP1,,foundation,,,,,,,
SYNGAP1 Foundation,SYNGAP1,,foundation,,,,,,,
TANGO2 Research Foundation,TANGO2,https://tango2research.org/,foundation,REDCap,,,,,,TANGO2 Deficiency Disorder (TDD); Metabolic Encephalomyopathic Crisis with Recurrent Rhabdomyolysis; registry: T2RF registry; Baylor academic registry
Tess Foundation,TBCK,https://www.curetbck.org/,foundation,REDCap,,yes,,,,TBCK-related neurodegenerative disorder (TBCK encephaloneuropathy); registry: Cure TBCK registry; CHOP academic NH
CureTBCK,TBCK,,foundation,,,,,,,
international family network,TBCK,,family group,,,,,,,
Fundación TBCK,TBCK,,foundation,,,,,,,
TSC Alliance (US),TSC1,https://www.tscalliance.org,foundation,REDCap,https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,yes,,info@tscalliance.org,EL-PFDD Meeting (2017),Tuberous Sclerosis Complex (TSC1); registry: TSC Natural History Database (TSC Alliance); TOSCA (international cohort)
Tuberous Sclerosis Association (UK),TSC1,,foundation,,,,,,,
Tuberous Sclerosis Australia,TSC1,,foundation,,,,,,,
multi-country,TSC1,,foundation,,,,,,,
TS Alliance,TSC1,,foundation,,,,,,,
TS Alliance,TSC2,,foundation,REDCap,https://www.tscalliance.org/get-involved/participate-in-research/tsc-biosample-repository-and-natural-history-database/,yes,,info@tscalliance.org,EL-PFDD Meeting (2017),"Tuberous Sclerosis Complex (TSC2, most cases); registry: Same, TSC Natural History Database; TOSCA"
Tuberous Sclerosis Association (UK),TSC2,,foundation,,,,,,,
Angelman Syndrome Foundation,UBE3A,https://www.angelman.org/,foundation,REDCap,https://angelman.org/contactregistry/,,,info@angelman.org,EL-PFDD Meeting (2025),Angelman Syndrome; registry: LADDER database (Lifespan Angelman Database; ASF/FAST partnership); ASF Clinics network
Foundation for Angelman Syndrome Therapeutics,UBE3A,,foundation,,,,,,,
Angelman Syndrome UK,UBE3A,,foundation,,,,,,,
Angelman Syndrome Alliance,UBE3A,,foundation,,,,,,,
YWHAG Foundation,YWHAG,https://www.ywhagfoundation.org/,foundation,Citizen,https://www.ywhagfoundation.org/patient-registry,,,,,YWHAG-related developmental and epileptic encephalopathy (DEE56); registry: YWHAG Foundation patient registry (in development); Citizen Health
International PDE Consortium,ALDH7A1,https://pdeonline.org/,foundation,REDCap,https://pdeonline.org/,,,,,Pyridoxine-Dependent Epilepsy (PDE-ALDH7A1); registry: International PDE Registry (pdeonline.org)
PDE Foundation,ALDH7A1,,foundation,,,,,,,
CureAP4 Foundation,AP4B1,https://www.cureap4.org/,foundation,Foundation-hosted,https://clinicaltrials.gov/study/NCT04712812,yes,,,,AP-4-Associated Hereditary Spastic Paraplegia (SPG47); registry: Boston Children's Hospital AP-4-HSP Registry & NH Study (NCT04712812)
Cure SPG50 Foundation,AP4B1,https://www.curespg50.org/,foundation,,,,,,,
Tom Wahlig Stiftung,AP4B1,,foundation,,,,,,,
Cure AHC (US),ATP1A3,https://ahckids.org,foundation,REDCap,https://ahckids.org/wp-content/uploads/2015/08/Flyer-ClinicalRegistry.pdf,,,AHCFoundation@ahckids.org,,"ATP1A3-related disorders (AHC, RDP, CAPOS, D-DEMO); registry: AHC Patient Registry (Duke / AHC Foundation); international ATP1A3 Symposium cohorts"
AHC Foundation (US),ATP1A3,,foundation,,,,,,,
AHCUK,ATP1A3,,foundation,,,,,,,
AFSHA (FR),ATP1A3,,foundation,,,,,,,
AHC Federation of Europe,ATP1A3,,foundation,,,,,,,
AHC Australia,ATP1A3,,foundation,,,,,,,
Cure AHC,ATP1A3,,foundation,,,,,,,
AHC Foundation,ATP1A3,,foundation,,,,,,,
AFSHA,ATP1A3,,foundation,,,,,,,
DNM1 Epilepsy Project,DNM1,https://dnm1epilepsy.org,foundation,Citizen,https://patient.citizenhealth.com/,,,sali@dnm1epilepsy.com,,DNM1-related developmental and epileptic encephalopathy (DEE31A/B); registry: Citizen Health partnership
DYRK1A Syndrome International Association,DYRK1A,https://dyrk1a.org/,foundation,,https://www.simonssearchlight.org/research/what-we-study/dyrk1a/,,,,,DYRK1A Syndrome (MRD7) / DYRK1A Haploinsufficiency; registry: Working toward; Simons Searchlight provides infrastructure
country-specific groups,DYRK1A,,foundation,,,,,,,
KCNMA1 Channelopathy International Advocacy Foundation,KCNMA1,https://kcnma1.org/,foundation,REDCap,,yes,,,,"KCNMA1-related disorders (Liang-Wang syndrome / KCNMA1-channelopathy); registry: KCAF registry; academic NH (Univ. of Maryland, Meredith)"
KCNQ2 Cure Alliance,KCNQ2,https://www.kcnq2cure.org/,foundation,REDCap,https://www.kcnq2cure.org/contact-registry-form/,,,info@kcnq2cure.org,,"KCNQ2-related disorders (BFNE, DEE7); registry: RIKEE, Rational Intervention for KCNQ2/3 Encephalopathy (international DB)"
KCNT1 Epilepsy Foundation,KCNT1,https://kcnt1epilepsy.org/,foundation,NORD IAMRARE,https://www.kcnt1epilepsy.org/registry-information-original/,,,info@kcnt1epilepsy.org,Patient Listening Session (2024),KCNT1-related epilepsies (EIMFS/MMPSI; ADNFLE/SHE; other DEEs); registry: KCNT1 Epilepsy Foundation Patient Registry
KIF1A.ORG,KIF1A,https://www.kif1a.org/,foundation,Citizen,https://www.kif1a.org/research/,yes,,,,KIF1A-Associated Neurological Disorder (KAND); registry: KIF1A.ORG NH study (Columbia / Wendy Chung); Citizen Health
All Things Kabuki,KMT2D,https://allthingskabuki.org/,foundation,Citizen,,,,,,Kabuki Syndrome (Type 1); registry: All Things Kabuki registry; Citizen Health partnership
Kabuki Syndrome Foundation,KMT2D,https://kabukisyndrome.com/,foundation,,,,,,,
Kabuki UK,KMT2D,,foundation,,,,,,,
Lissencephaly Network,PAFAH1B1,https://www.lissencephaly.org/,foundation,Foundation-hosted,,,,,,Lissencephaly 1 (LIS1; classical lissencephaly); Miller-Dieker syndrome; registry: Lissencephaly Network registry; academic cohorts
Miller-Dieker Foundation,PAFAH1B1,,foundation,,,,,,,
international families,PAFAH1B1,,foundation,,,,,,,
PNKP Disease Foundation,PNKP,https://www.pnkpfoundation.org/ (verify),foundation,Foundation-hosted,,yes,,,,PNKP-related disorders (MCSZ; AOA4); registry: Foundation registry; academic NH
AOA4-PNKP family network,PNKP,,family group,,,,,,,
BDSRA,PPT1,https://bdsra.org,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Neuronal Ceroid Lipofuscinosis 1 (Infantile NCL / CLN1); registry: DEM-CHILD; BDSRA registry
Beyond Batten,PPT1,,foundation,,,,,,,
Taylor's Tale,PPT1,,foundation,,,,,,,
movement disorder umbrellas,PRRT2,,foundation,REDCap,,,,,,"PRRT2-related disorders (BFIE, PKD, ICCA, hemiplegic migraine); registry: Multiple academic cohorts"
PTEN Hamartoma Tumor Syndrome Foundation (US),PTEN,https://ptenfoundation.org/,foundation,Foundation-hosted,https://clinicaltrials.gov/study/NCT06462430,,,,,"PTEN Hamartoma Tumor Syndrome (Cowden, Bannayan-Riley-Ruvalcaba); Macrocephaly-Autism Syndrome; registry: PTEN Foundation IRB-approved registry & biorepository; Yale Pediatric Patient Registry (NCT06462430); PtenTurkiye.org"
PTEN Research (UK),PTEN,https://www.ptenresearch.org/,foundation,,,,,,,
PTEN Hamartoma Tumor Syndrome Foundation,PTEN,,foundation,,,,,,,
PTEN Research,PTEN,,foundation,,,,,,,
Glut1 Deficiency Foundation,SLC2A1,https://G1DFoundation.org,foundation,Foundation-hosted,https://www.g1dfoundation.org/natural-history-study/,,,hello@G1DFoundation.org,,GLUT1 Deficiency Syndrome (Glut1-DS); registry: Glut1 Deficiency Foundation Patient Registry
Christianson Syndrome Association,SLC9A6,https://www.csaresearchfoundation.org/,foundation,REDCap,,yes,,,,Christianson Syndrome (X-linked NDD with epilepsy + ataxia); registry: CSA Research Foundation registry; academic NH
Pitt Hopkins Research Foundation,TCF4,https://pitthopkins.org/,foundation,REDCap,,,,,,Pitt-Hopkins Syndrome; registry: PHRF registry; international academic cohorts
Pitt Hopkins UK,TCF4,,foundation,,,,,,,
BDSRA,TPP1,https://bdsra.org,foundation,REDCap,https://bdsra.org/clinical-news/bdsra-funds-crucial-project-to-expand-a-batten-disease-patient-registry/,,,,,Late-Infantile Neuronal Ceroid Lipofuscinosis (Classical CLN2); registry: DEM-CHILD; BDSRA; BioMarin Brineura post-marketing
Beyond Batten,TPP1,,foundation,,,,,,,
multiple country foundations,TPP1,,foundation,,,,,,,
Don't Forget Me Foundation (US),WDR45,https://dontforgetmefoundation.org/,foundation,Foundation-hosted,https://www.bpanwarriors.org/rare-x | https://rare-x.org/bpan/ | Historical Ciitizen natural history study announcement: https://www.prweb.com/releases/BPAN_Warriors_Partners_with_Ciitizen_to_launch_a_groundbreaking_Natural_History_Study_to_accelerate_potential_treatments_for_rare_disease_BPAN/prweb17735181.htm,,,info@bpanwarriors.org,,Beta-Propeller Protein-Associated Neurodegeneration (BPAN); SENDA; registry: NBIA international registry; BPAN-specific cohorts via Don't Forget Me
BPAN Warriors,WDR45,https://www.nbiadisorders.org/,foundation,,,,,,,
NBIA Disorders Association,WDR45,,foundation,,,,,,,
Don't Forget Me Foundation,WDR45,,foundation,,,,,,,
Mowat-Wilson Syndrome Foundation (US),ZEB2,https://mowat-wilson.org/,foundation,Matrix (Across Healthcare),https://mowat-wilson.org/matrix/,,,,,"Mowat-Wilson Syndrome; registry: Mowat-Wilson Syndrome Foundation Matrix Portal & Registry (Across Healthcare platform, early adopter, launched Feb 2021)"
Mowat-Wilson Syndrome Australia,ZEB2,,foundation,,,,,,,
multiple country networks,ZEB2,,foundation,,,,,,,
Mowat-Wilson Syndrome Foundation,ZEB2,,foundation,,,,,,,
Simons Searchlight,ARHGEF9,,foundation,,,no,,,,ARHGEF9-related epileptic encephalopathy (X-linked; hyperekplexia + epilepsy); registry: Academic cohorts only
emerging community,ATP6V1A,https://vatpasealliance.org/,family group,,https://vatpasealliance.org/patient-registry-1,no,,,,"ATP6V1A-related disorders (DEE93, cutis laxa); registry: Academic cohorts (Florence Italy)"
v-ATPase Alliance,ATP6V1A,,foundation,,,,,,,
Project CASK,CASK,https://www.projectcask.org/,foundation,REDCap,https://www.caskgene.org/registry | https://www.caskgene.org/population,yes,,hello@caskgene.org,,CASK-related disorders (MICPCH; FG syndrome 4; X-linked ID); registry: Project CASK registry partnership; international CASK NH cohort
CASK Foundation,CASK,,foundation,,,,,,,
The Brave Foundation,CASK,,foundation,,,,,,,
CSNK2B Foundation,CSNK2B,https://csnk2bfoundation.org,foundation,,https://www.citizen.health/ai-advocate/csnk2b-foundation,no,,,,Poirier-Bienvenu Neurodevelopmental Syndrome (POBINDS); registry: CSNK2B registry (Citizen Health; Simons Searchlight)
CSNK2B Neurodevelopmental Syndrome Foundation,CSNK2B,,foundation,,,,,,,
DEAF1 family network,DEAF1,https://www.rorybelle.org,family group,,,,,hello@therorybellefoundation.org,,DEAF1-related neurodevelopmental disorder (Vulto-van Silfhout-de Vries syndrome); registry: Simons Searchlight; family registry
Families of DAND (DEAF1 and Related Neurodevelopmental Disorders),DEAF1,,foundation,,,,,,,
DAND Alliance,DEAF1,,foundation,,,,,,,
DLG4 Foundation,DLG4,,foundation,,,,,,Patient Listening Session (2024),DLG4-related synaptopathy (PSD-95 NDD); registry: Simons Searchlight; family registry
DLG4 SHINE Foundation,DLG4,,foundation,,,,,,,
Finding Hope for FRRS1L,FRRS1L,https://www.frrs1l.org,foundation,,https://www.frrs1l.org/register,no,,contact@FRRS1L.org,,FRRS1L-related epileptic encephalopathy (DEE37); registry: Academic only
Cure GABA-A Variants,GABRA1,https://curegabaa.org/,foundation,,No dedicated public patient registry identified in this pass,,,,,"GABRA1-related epilepsies (Dravet-like, JME, DEE19); registry: Cure GABA-A Variants / Combined Brain biorepository"
GABRA1 Village,GABRA1,,foundation,,,,,,,
Cure GABA-A Variants,GABRB3,https://curegabaa.org/,foundation,,No dedicated public patient registry identified in this pass,,,,,"GABRB3-related disorders (DEE43, CAE, Lennox-Gastaut); registry: Via Cure GABA-A Variants"
GABRB3 Life Changes,GABRB3,,foundation,,,,,,,
GNB1 Advocacy Group / GNB1 family network,GNB1,https://www.gnb1advocacy.org/,family group,REDCap,https://www.gnb1advocacy.org/research/registry,,,,,GNB1 Encephalopathy (NEDIM); registry: GNB1 family registry; Simons Searchlight
GNB1 Advocacy Group,GNB1,,foundation,,,,,,,
GNB1 Foundation,GNB1,,foundation,,,,,,,
GNB1 Gene Disorder,GNB1,,foundation,,,,,,,
CureGRIN Foundation,GRIN2D,https://curegrin.org/,foundation,Foundation-hosted,https://curegrin.org/gri-registry/ | https://grin2b.com/grin-registry/ | https://curegrin.org/gricensus/,,,,,GRIN2D-related developmental and epileptic encephalopathy (DEE46); registry: CureGRIN registry
CureGRIN,GRIN2D,,foundation,,,,,,,
HNRNPU Foundation,HNRNPU,https://www.hnrnp.org/,foundation,Foundation-hosted,https://hnrnp.org/natural-history-study,,,info@hnrnp.org,,HNRNPU-related neurodevelopmental disorder (DEE54); registry: Simons Searchlight; family registry
HNRNP-Related Parent Connect,HNRNPU,,family group,,,,,,,
HNRNPU Parent Connect,HNRNPU,,family group,,,,,,,
KCNA2 Epilepsy Global Alliance,KCNA2,https://www.kcna2epilepsy.org,foundation,,https://www.kcna2epilepsy.org/kcna2-international-registry-natural-history-study/,no,,kcna2epilepsy@gmail.com,,KCNA2-related epilepsies (DEE32); registry: Tübingen academic cohort
KCNA2 Parent Connection,KCNA2,,family group,,,,,,,
Zimmermann-Laband Syndrome Foundation,KCNH1,https://www.curekcnh1.org/,foundation,,https://www.curekcnh1.org/research | https://www.curekcnh1.org/updates,no,,info@curekcnh1.org,,KCNH1-related disorders (Temple-Baraitser; Zimmermann-Laband); registry: Academic cohorts
Temple-Baraitser Syndrome family network,KCNH1,,family group,,,,,,,
Cure KCNH1,KCNH1,,foundation,,,,,,,
NRXN1 Network,NRXN1,,foundation,REDCap,,,,,,"NRXN1-related disorders (autism, schizophrenia, Pitt-Hopkins-like); registry: Simons Searchlight; SPARK autism research"
Nicolaides-Baraitser Syndrome Worldwide Foundation,SMARCA2,https://nbsworldwide.org/,foundation,Foundation-hosted,,,,,,Nicolaides-Baraitser Syndrome (NCBRS); Blepharophimosis-ID Syndrome; registry: NBS Worldwide registry; Simons Searchlight
Coffin Siris Syndrome Facebook support group,SMARCA2,,family group,,,,,,,
NCBRS Worldwide Foundation,SMARCA2,,foundation,,,,,,,
CdLS Foundation,SMC1A,https://smc1a-epilepsy.org/,foundation,Foundation-hosted,https://smc1a-epilepsy.org/smc1a-patient-registry/,,,info@smc1a-epilepsy.org,,Cornelia de Lange Syndrome 2 (X-linked CdLS); registry: CdLS Foundation registry; international consensus statements
SMC1A Foundation,SMC1A,,foundation,,,,,,,
